Name
Amygdala
Anterior cingulate gyrus
Anterior insula
Basal ganglia
Brain
Caudate
Cerebellum
Cerebral cortex
Cingulate gyrus
Claustrum
Diencephalon
Dorsal anterior cingulate cortex
Dorsal striatum
Forebrain
Frontal eye field
Frontal lobe
Functional area
Fusiform gyrus
Hindbrain
Hippocampus
Hypothalamus
Inferior frontal gyrus
Inferior parietal lobule
Inferior temporal gyrus
Insula
Interhemispheric fissure
Intraparietal sulcus
Lentiform nucleus
Limbic lobe
Lingual gyrus
Metencephalon
Middle frontal gyrus
Middle temporal gyrus
Occipital lobe
Operculum
Parahippocampal gyrus
Parietal lobe
Planum polare
Planum temporale
Postcentral gyrus
Posterior cingulate gyrus
Posterior insula
Precentral gyrus
Precuneus
Prefrontal cortex
Premotor cortex
Pulvinar
Putamen
Striatum
Subgenual area
Superior frontal gyrus
Superior parietal lobule
Superior temporal gyrus
Superior temporal plane
Superior temporal sulcus
Supplementary motor area
Telencephalon
Temporal lobe
Temporal operculum
Temporoparietal junction
Thalamus
Transverse temporal gyri
Ventral striatum
Vermis
Visual word form area
White matter
