FreeSurfer;BIRN_Title;NN_ID;NN_String
wm-rh-G_and_S_transverse_frontopolar;Transverse frontopolar gyri complex;962901580;TRANSVERSE FRONTOPOLAR GYRI (H)
wm-rh-Lat_Fissure-ant_sgt-ramus_horizontal;Anterior horizontal limb of lateral sulcus;50;anterior horizontal limb of lateral sulcus (H)
wm-rh-Lat_Fissure-ant_sgt-ramus_vertical;Anterior ascending limb of lateral sulcus;49;anterior ascending limb of lateral sulcus (H)
wm-rh-Pole_temporal;Temporal pole;108;temporal pole
wm-rh-S_central_insula;Insula;93;INSULA
wm-rh-S_frontal_inferior;Inferior frontal sulcus;44;inferior frontal sulcus (H)
wm-rh-S_frontal_middle;Middle frontal sulcus;43;middle frontal sulcus (H)
wm-rh-S_frontal_superior;Superior frontal sulcus;42;superior frontal sulcus (H)
wm-rh-S_occipital_anterior;Inferior temporal sulcus;112;inferior temporal sulcus (H)
wm-rh-S_orbital-H_shapped;Orbital sulcus;61;orbital sulcus (H)
wm-rh-S_orbital_lateral;Lateral orbital sulcus;63;lateral orbital sulcus
wm-rh-S_orbital_medial-Or_olfactory;Olfactory sulcus;60;olfactory sulcus
wm-rh-S_paracentral;Paracentral sulcus;51;paracentral sulcus (H)
wm-rh-S_precentral-Inferior-part;Inferior precentral sulcus;53;inferior precentral sulcus (H)
wm-rh-S_precentral-Superior-part;Superior precentral sulcus;52;superior precentral sulcus
wm-rh-S_subcentral_ant;Anterior subcentral sulcus;54;anterior subcentral sulcus
wm-rh-S_suborbital;Superior rostral sulcus;56;superior rostral sulcus (H)
wm-rh-S_temporal_inferior;Inferior temporal sulcus;112;inferior temporal sulcus (H)
wm-rh-S_temporal_superior;Superior temporal sulcus;111;superior temporal sulcus
wm-rh-S_temporal_transverse;Transverse temporal sulcus;110;transverse temporal sulcus (H)
caudalanteriorcingulate;Insula;93;INSULA
cuneus;Cuneus cortex;139;cuneus
entorhinal;Entorhinal cortex;150;entorhinal area
fusiform;Fusiform gyrus;121;fusiform gyrus
inferiorparietal;Inferior parietal cortex;89;INFERIOR PARIETAL LOBULE
inferiortemporal;Inferior temporal gyrus;120;inferior temporal gyrus
lateraloccipital;Lateral occipital cortex;137;lateral occipital gyrus (H)
lingual;Lingual gyrus;140;lingual gyrus
medialorbitofrontal;Medial orbital frontal cortex;37;FRONTAL LOBE
middletemporal;Middle temporal gyrus;119;middle temporal gyrus
parahippocampal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS
paracentral;Paracentral sulcus;51;paracentral sulcus (H)
parsopercularis;Frontal operculum;39;frontal operculum
parsorbitalis;Orbital operculum;40;orbital operculum
parstriangularis;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H)
postcentral;Postcentral gyrus;87;postcentral gyrus
precentral;Precentral gyrus;71;precentral gyrus
precuneus;Precuneus cortex;92;precuneus
superiorfrontal;Superior frontal gyrus;65;superior frontal gyrus
superiorparietal;Superior parietal cortex;88;superior parietal lobule
superiortemporal;Superior temporal gyrus;118;superior temporal gyrus
supramarginal;Supramarginal gyrus;90;supramarginal gyrus
frontalpole;Frontal pole;38;frontal pole
temporalpole;Temporal pole;108;temporal pole
