FreeSurfer;BIRN_Title;NN_ID;NN_String;Abbreviation;Latin
Amygdala;Amygdala;219;AMYGDALA;Amg;Corpus amygdaloideum
Cerebral_White_Matter;Cerebral white matter;171;CEREBRAL WHITE MATTER;cw;Substantia medullaris cerebri
Cerebral_Cortex;Cerebral cortex;20;CEREBRAL CORTEX;Cx;Cortex cerebri
Ectorhinal;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
Perirhinal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
V2;Occipital gyrus;134;occipital gyrus (M);OG;Gyrus occipitalis (M)
BA44;Frontal operculum;39;frontal operculum;fro;Operculum frontale
BA45;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
BA4a;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
BA4p;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
BA6;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
BA2;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
BAun1;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
BAun2;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
ctx-lh-cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
ctx-lh-entorhinal;Entorhinal cortex;150;entorhinal area;Ent;Area entorhinalis
ctx-lh-fusiform;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
ctx-lh-inferiorparietal;Inferior parietal cortex;89;INFERIOR PARIETAL LOBULE;IPL;Lobulus parietalis inferior
ctx-lh-inferiortemporal;Inferior temporal gyrus;120;inferior temporal gyrus;ITG;Gyrus temporalis inferior
ctx-lh-lateraloccipital;Lateral occipital cortex;137;lateral occipital gyrus (H);LOG;Gyrus occipitalis lateralis (H)
ctx-lh-lingual;Lingual gyrus;140;lingual gyrus;LiG;Gyrus lingualis
ctx-lh-medialorbitofrontal;Medial orbital frontal cortex;37;FRONTAL LOBE;FL;Lobus frontalis
ctx-lh-middletemporal;Middle temporal gyrus;119;middle temporal gyrus;MTG;Gyrus temporalis medius
ctx-lh-parahippocampal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
ctx-lh-paracentral;Paracentral sulcus;51;paracentral sulcus (H);pcs;Sulcus paracentralis (H)
ctx-lh-parsopercularis;Frontal operculum;39;frontal operculum;fro;Operculum frontale
ctx-lh-parsorbitalis;Orbital operculum;40;orbital operculum;oro;Operculum orbitale
ctx-lh-parstriangularis;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
ctx-lh-postcentral;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
ctx-lh-precentral;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
ctx-lh-precuneus;Precuneus cortex;92;precuneus;PCu;Precuneus
ctx-lh-superiorfrontal;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
ctx-lh-superiorparietal;Superior parietal cortex;88;superior parietal lobule;SPL;Lobulus parietalis superior
ctx-lh-superiortemporal;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-lh-supramarginal;Supramarginal gyrus;90;supramarginal gyrus;SMG;Gyrus supramarginalis
ctx-lh-frontalpole;Frontal pole;38;frontal pole;frp;Polus frontalis
ctx-lh-temporalpole;Temporal pole;108;temporal pole;tmp;Polus temporalis
ctx-rh-cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
ctx-rh-entorhinal;Entorhinal cortex;150;entorhinal area;Ent;Area entorhinalis
ctx-rh-fusiform;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
ctx-rh-inferiorparietal;Inferior parietal cortex;89;INFERIOR PARIETAL LOBULE;IPL;Lobulus parietalis inferior
ctx-rh-inferiortemporal;Inferior temporal gyrus;120;inferior temporal gyrus;ITG;Gyrus temporalis inferior
ctx-rh-lateraloccipital;Lateral occipital cortex;137;lateral occipital gyrus (H);LOG;Gyrus occipitalis lateralis (H)
ctx-rh-lingual;Lingual gyrus;140;lingual gyrus;LiG;Gyrus lingualis
ctx-rh-medialorbitofrontal;Medial orbital frontal cortex;37;FRONTAL LOBE;FL;Lobus frontalis
ctx-rh-middletemporal;Middle temporal gyrus;119;middle temporal gyrus;MTG;Gyrus temporalis medius
ctx-rh-parahippocampal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
ctx-rh-paracentral;Paracentral sulcus;51;paracentral sulcus (H);pcs;Sulcus paracentralis (H)
ctx-rh-parsopercularis;Frontal operculum;39;frontal operculum;fro;Operculum frontale
ctx-rh-parsorbitalis;Orbital operculum;40;orbital operculum;oro;Operculum orbitale
ctx-rh-parstriangularis;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
ctx-rh-postcentral;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
ctx-rh-precentral;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
ctx-rh-precuneus;Precuneus cortex;92;precuneus;PCu;Precuneus
ctx-rh-superiorfrontal;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
ctx-rh-superiorparietal;Superior parietal cortex;88;superior parietal lobule;SPL;Lobulus parietalis superior
ctx-rh-superiortemporal;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-rh-supramarginal;Supramarginal gyrus;90;supramarginal gyrus;SMG;Gyrus supramarginalis
ctx-rh-frontalpole;Frontal pole;38;frontal pole;frp;Polus frontalis
ctx-rh-temporalpole;Temporal pole;108;temporal pole;tmp;Polus temporalis
wm-lh-cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
wm-lh-entorhinal;Entorhinal cortex;150;entorhinal area;Ent;Area entorhinalis
wm-lh-fusiform;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
wm-lh-inferiorparietal;Inferior parietal cortex;89;INFERIOR PARIETAL LOBULE;IPL;Lobulus parietalis inferior
wm-lh-inferiortemporal;Inferior temporal gyrus;120;inferior temporal gyrus;ITG;Gyrus temporalis inferior
wm-lh-lateraloccipital;Lateral occipital cortex;137;lateral occipital gyrus (H);LOG;Gyrus occipitalis lateralis (H)
wm-lh-lingual;Lingual gyrus;140;lingual gyrus;LiG;Gyrus lingualis
wm-lh-medialorbitofrontal;Medial orbital frontal cortex;37;FRONTAL LOBE;FL;Lobus frontalis
wm-lh-middletemporal;Middle temporal gyrus;119;middle temporal gyrus;MTG;Gyrus temporalis medius
wm-lh-parahippocampal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
wm-lh-paracentral;Paracentral sulcus;51;paracentral sulcus (H);pcs;Sulcus paracentralis (H)
wm-lh-parsopercularis;Frontal operculum;39;frontal operculum;fro;Operculum frontale
wm-lh-parsorbitalis;Orbital operculum;40;orbital operculum;oro;Operculum orbitale
wm-lh-parstriangularis;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
wm-lh-postcentral;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
wm-lh-precentral;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
wm-lh-precuneus;Precuneus cortex;92;precuneus;PCu;Precuneus
wm-lh-superiorfrontal;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
wm-lh-superiorparietal;Superior parietal cortex;88;superior parietal lobule;SPL;Lobulus parietalis superior
wm-lh-superiortemporal;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
wm-lh-supramarginal;Supramarginal gyrus;90;supramarginal gyrus;SMG;Gyrus supramarginalis
wm-lh-frontalpole;Frontal pole;38;frontal pole;frp;Polus frontalis
wm-lh-temporalpole;Temporal pole;108;temporal pole;tmp;Polus temporalis
wm-rh-cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
wm-rh-entorhinal;Entorhinal cortex;150;entorhinal area;Ent;Area entorhinalis
wm-rh-fusiform;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
wm-rh-inferiorparietal;Inferior parietal cortex;89;INFERIOR PARIETAL LOBULE;IPL;Lobulus parietalis inferior
