DG;dentate gyrus;rodent, carnivore, primate;Tel::DG
DH;dorsal horn;rodent, carnivore, primate;SpC::DH
Die;diencephalon;rodent, carnivore, primate;Die
DIP;nucleus dorsointermedius posterior thalami;avian;<Null>
DIVA;dorsalis intermedius pars ventralis anterior;avian;<Null>
DLL;nucleus dorsolateralis anterior thalami, pars lateralis;avian;<Null>
DLP;nucleus dorsolateralis posterior thalami;avian;<Null>
DMA;nucleus dorsomedialis anterior thalami;avian;<Null>
DMH;dorsomedial nucleus of hypothalamus;rodent, carnivore, primate;Die::Hy::DMH
DMP;nucleus dorsomedialis posterior thalami;avian;<Null>
DR;dorsal raphe;rodent, carnivore, primate;MB::DR
DSCT;dorsal spinocerebellar tract;rodent, carnivore, primate;<Null>
DSD;decussatio supraoptica dorsalis;avian;<Null>
DX;dorsal vagal nucleus;rodent, carnivore, primate;<Null>
E;ectostriatum;avian;<Null>
EM;nucleus ectomamillaris;avian;<Null>
ENT;entorhinal cortex;rodent, carnivore, primate;Tel::Cx::ENT
Epi;epithalamus;rodent, carnivore, primate;Die::Epi
EW;Edinger-Westphal nucleus;rodent, carnivore, primate;<Null>
F;fornix of hippocampus;rodent, carnivore, primate;Tel::F
FA;tractus fronto-archistriatalis;avian;<Null>
FF;fields of Forel;rodent, carnivore, primate;Die::VTh::FF
FI;fimbria of hippocampus;rodent, carnivore, primate;Tel::FI
FPL;fasciculus prosencephali lateralis;avian;<Null>
FR;frontal region;rodent;Tel::Cx::FR
FTC;central tegmental field;rodent, carnivore, primate;<Null>
GF;gracile fasciculus;rodent, carnivore, primate;Me::GF
GLd;dorsal lateral geniculate nucleus;avian;<Null>
GLv;nucleus geniculatus lateralis, pars ventralis;avian;<Null>
GPe;external division of globus pallidus;rodent, carnivore, primate;Tel::GPe
GPi;internal division of globus pallidus;rodent, carnivore, primate;Tel::GPi
Gr;gracile nucleus;rodent, carnivore, primate;Me::Gr
HA;hyperstriatum accessorium;avian;<Null>
HAA;anterior hypothalamic area;rodent, carnivore, primate;Die::Hy::HAA
HAr;arcuate nucleus of hypothalamus;rodent;<Null>
HC;habenular commissure;rodent, carnivore, primate;Die::Epi::HC
HD;hyperstriatum dorsale;avian;<Null>
HD;dorsal hypothalamic nucleus;primate;<Null>
HDA;dorsal hypothalamic area;rodent, carnivore, primate;Die::Hy::HDA
HF;hippocampal formation;rodent, carnivore, primate;Tel::HF
Hl;lateral habenular nucleus;rodent, carnivore, primate;Die::Epi::Hl
HL;nucleus habenularis lateralis;avian;<Null>
HLA;lateral hypothalamic area;rodent, carnivore, primate;Die::Hy::HLA
HLmc;magnocellular nucleus of lateral hypothalamus;primate;<Null>
HM;medial habenular nucleus;rodent, carnivore, primate;Die::Epi::HM
HM;nucleus habenularis medialis;avian;<Null>
HMA;medial hypothalamic area;rodent, carnivore, primate;Die::Hy::HMA
Hp;hippocampus;avian;<Null>
HPA;posterior hypothalamic area;rodent, carnivore, primate;Die::Hy::HPA
HPT;habenulopeduncular tract;rodent, carnivore, primate;<Null>
HV;hyperstriatum ventrale;avian;<Null>
HY;hypophysis;rodent, carnivore, primate;Die::Hy::HY
Hy;hypothalamus;rodent, carnivore, primate, avian;Die::Hy
IC;internal capsule;rodent, carnivore, primate;<Null>
ICA;interstitial nucleus of Cajal;rodent, carnivore, primate;MB::ICA
ICAS;inferior ramus of calcarine sulcus;primate;Tel::Cx::ICAS
ICC;central nucleus of inferior colliculus;rodent, carnivore, primate;MB::Tec::ICC
ICP;pericentral nucleus of inferior colliculus;rodent, carnivore, primate;MB::Tec::ICP
ICX;external nucleus of inferior colliculus;rodent, carnivore, primate;MB::Tec::ICX
IHA;hyperstriatum intercalatus superior;avian;<Null>
III;oculomotor nucleus;rodent, carnivore, primate;MB::III
IIIN;oculomotor nerve;rodent, carnivore, primate;MB::IIIN
INF;infundibular nucleus;rodent, carnivore, primate;Die::Hy::INF
Ins;insular cortex;carnivore, primate;Tel::Cx::Ins
IO;inferior olivary complex;rodent, carnivore, primate;Me::IO
IOD;dorsal accessory nucleus of inferior olivary complex;rodent, carnivore, primate;Me::IOD
IOM;medial accessory nucleus of inferior olivary complex;rodent, carnivore, primate;Me::IOM
IOP;principal nucleus of inferior olivary complex;rodent, carnivore, primate;<Null>
IOS;inferior occipital sulcus;primate;Tel::Cx::IOS
IP;interpeduncular nucleus;rodent, carnivore, primate;MB::IP
IPS;intraparietal sulcus;carnivore, primate;Tel::Cx::IPS
ISC;islands of Calleja;rodent, carnivore, primate;Tel::ISC
ITG;inferior temporal gyrus;primate;Tel::ITG
ITS;inferior temporal sulcus;primate;Tel::Cx::ITS
IV;trochlear nucleus;rodent, carnivore, primate;MB::IV
IVN;trochlear nerve;rodent, carnivore, primate;<Null>
L;limitans nucleus of thalamus;rodent, carnivore, primate;Die::Th::L
L;area L;avian;<Null>
L1;area L1;avian;<Null>
L2;area L2;avian;<Null>
L3;area L3;avian;<Null>
LC;locus coeruleus;rodent, carnivore, primate;Pons::LC
LD;lateral dorsal nucleus of thalamus;rodent, carnivore, primate;Die::Th::LD
LF;lenticular fascicularis;primate;<Null>
LGd;dorsal lateral geniculate nucleus;rodent, carnivore, primate;Die::Th::LGd
LGv;ventral lateral geniculate nucleus;rodent;<Null>
LH;lamina hyperstriatica;avian;<Null>
LL;lateral lemniscus;rodent, carnivore, primate;Pons::LL
LLD;dorsal nucleus of lateral lemniscus;rodent, carnivore, primate;<Null>
LLV;ventral nucleus of lateral lemniscus;rodent, carnivore, primate;<Null>
LM;medial lemniscus;rodent, carnivore, primate;<Null>
LM;lemniscus medialis;avian;<Null>
LMD;lamina medullaris dorsalis;avian;<Null>
LMX;decussation of medial lemniscus;rodent, carnivore, primate;Me::LMX
LOT;lateral olfactory tract;rodent, carnivore, primate;Tel::LOT
LP;lateral posterior nucleus of thalamus;rodent, carnivore, primate;Die::Th::LP
LPO;lateral preoptic area;rodent, carnivore, primate;Die::Hy::LPO
LPO;lobus parolfactorius;avian;<Null>
LR;lateral reticular nucleus;rodent, carnivore, primate;<Null>
LS;lateral sulcus;primate;Tel::Cx::LS
LT;lamina terminalis;primate;<Null>
LUS;lunate sulcus;primate;Tel::Cx::LUS
LV;lateral ventricle;rodent, carnivore, primate;Tel::LV
M1;primary motor cortex;rodent, carnivore, primate;Tel::Cx::M1
MB;midbrain;rodent, carnivore, primate;MB
MBRF;midbrain reticular formation;rodent, carnivore, primate;MB::MBRF
MD;mediodorsal nucleus of thalamus;rodent, carnivore, primate;Die::Th::MD
Me;medulla;rodent, carnivore, primate;Me
ME;median eminence;primate;<Null>
MeRF;medullary reticular formation;rodent, carnivore, primate;Me::MeRF
MG;medial geniculate complex;rodent, carnivore, primate;Die::Th::MG
MGad;anterodorsal nucleus of medial geniculate complex;rodent, carnivore, primate;Die::Th::MG::MGad
MGmc;magnocellular nucleus of medial geniculate complex;rodent, carnivore, primate;Die::Th::MG::MGmc
MGpd;posterodorsal nucleus of medial geniculate complex;rodent, carnivore, primate;Die::Th::MG::MGpd
MGv;ventral nucleus of medial geniculate complex;rodent, carnivore, primate;Die::Th::MG::MGv
ML;lateral mamillary nucleus;rodent, carnivore, primate;Die::Hy::ML
MLB;medial longitudinal bundle;rodent, carnivore, primate;MB::MLB
